,logpop,loginv,pop,family.name,area,inv,language
999,16.79676863,3.850147602,19712600,NA,NA,46,Marwari
1000,11.03490579,3.555348061,62000,Atlantic-Congo,Africa,34,Samba Leko
1005,14.55744838,3.433987204,2100000,Austronesian,Papunesia,30,Sasak
1008,7.065613364,2.944438979,1170,Tucanoan,South America,18,Secoya
1010,7.123672785,3.36729583,1240,Austronesian,Papunesia,28,Seimat
1011,8.318986125,3.951243719,4100,Austroasiatic,Eurasia,51,Semelai
1012,1.791759469,3.761200116,5,Uto-Aztecan,North America,42,Serrano
1013,5.993961427,3.784189634,400,,Africa,43,Shabo
1014,2.302585093,2.944438979,9,NA,NA,18,Shanenawa
1016,15.79279492,3.761200116,7223100,Atlantic-Congo,Africa,42,Shona
1018,7.640603826,3.135494216,2080,Austronesian,Papunesia,22,Siar-Lak
1019,16.81463711,4.430816799,20068000,Indo-European,Eurasia,83,Saraiki
1020,5.771441123,2.995732274,320,Algic,North America,19,Shawnee
1021,6.552507887,3.17805383,700,Sko,Papunesia,23,Skou
1022,8.699681401,4.290459441,6000,NA,NA,72,So
1023,12.14420256,4.290459441,188000,NA,NA,72,So
1027,6.216606101,3.761200116,500,Austronesian,Papunesia,42,Satawalese
1031,12.99721503,3.433987204,441182,NA,NA,30,Zapotec
1033,8.543055851,3.80666249,5130,Austronesian,Papunesia,44,Yapese
1034,2.564949357,3.583518938,12,Algic,North America,35,Yurok
1038,8.006700845,3.295836866,3000,Nuclear Trans New Guinea,Papunesia,26,Wambon
1039,2.397895273,3.496507561,10,,North America,32,Washo
1040,6.746412129,2.833213344,850,Cariban,South America,16,Wayana
1041,7.390798522,3.044522438,1620,Austronesian,Papunesia,20,Wogeo
1043,12.13779916,3.784189634,186800,Mande,Africa,43,Vai
1044,17.3625413,3.433987204,34710100,Indo-European,Eurasia,30,Ukrainian
1048,7.710205194,3.218875825,2230,Nuclear Trans New Guinea,Papunesia,24,Baruga
1049,5.993961427,2.890371758,400,Tucanoan,South America,17,Tatuyo
1053,11.03490579,3.258096538,62000,North Halmahera,Papunesia,25,Ternate
1055,17.51536385,3.63758616,40441370,Indo-European,Eurasia,37,Polish
1059,16.91393574,3.688879454,22163020,Indo-European,Eurasia,39,Dutch
1061,12.61154109,3.33220451,3.00E+05,Austronesian,Papunesia,27,Gayo
1064,10.30898599,3.828641396,30000,Indo-European,Eurasia,45,Aragonese
1066,15.60727019,3.496507561,6.00E+06,Atlantic-Congo,Africa,32,Ibibio
1067,18.03451506,3.526360525,67965790,Dravidian,Eurasia,33,Tamil
1071,8.987321813,2.995732274,8000,Austronesian,Papunesia,19,Selaru
1080,9.249657234,3.091042453,10400,Muskogean,North America,21,Choctaw
1081,6.587550015,3.737669618,725,Mixed Language,North America,41,Michif
1097,9.998843186,3.496507561,22000,Kartvelian,Eurasia,32,Laz
1098,10.07327252,3.401197382,23700,Austroasiatic,Eurasia,29,Juang
1099,8.006700845,3.713572067,3000,Timor-Alor-Pantar,Papunesia,40,Adang
1100,7.863651265,3.951243719,2600,Atlantic-Congo,Africa,51,Ambele
1101,7.930565854,3.713572067,2780,Arawakan,South America,40,Apurinã
1105,10.03455967,3.496507561,22800,NA,NA,32,Ika
1106,7.300472814,3.33220451,1480,Tupian,South America,27,Karo
1107,5.351858133,3.33220451,210,Tupian,South America,27,Karo
1113,8.117014088,3.258096538,3350,NA,NA,25,Blackfoot
1116,4.094344562,3.258096538,59,Muskogean,North America,25,Koasati
1117,3.610917913,3.761200116,36,Salishan,North America,42,Comox
1121,13.64732975,3.761200116,845200,NA,NA,42,Frisian
1126,11.79056478,3.610917913,132000,Mayan,North America,36,Huastec
1127,15.76376097,3.091042453,7016400,NA,NA,21,Ilocano
1131,13.75650444,3.688879454,942700,Sino-Tibetan,Eurasia,39,Lisu
1132,6.66057515,3.17805383,780,Austronesian,Papunesia,23,Loniu
1136,15.80242568,3.555348061,7293000,NA,NA,34,Mandingo
1148,15.22781885,3.688879454,4105420,Indo-European,Eurasia,39,Catalan
1149,15.47495713,3.610917913,5256400,Indo-European,Eurasia,36,Croatian
1150,16.18362034,3.663561646,10677190,Indo-European,Eurasia,38,Czech
1151,14.68764081,3.36729583,2392000,Indo-European,Eurasia,28,Galician
1153,3.63758616,3.80666249,37,NA,NA,44,Mono
1154,11.08215793,3.80666249,65000,NA,NA,44,Mono
1155,7.986504939,3.80666249,2940,NA,NA,44,Mono
1156,5.707110265,3.80666249,300,NA,NA,44,Mono
1157,16.95945036,3.465735903,23195070,Austronesian,Papunesia,31,Indonesian
1158,17.96450287,3.433987204,63370110,Indo-European,Eurasia,30,Italian
1160,6.803505258,3.258096538,900,,North America,25,Seri
1161,17.01195675,4.007333185,24445500,Indo-European,Eurasia,54,Sindhi
1162,14.55965071,3.63758616,2104630,NA,NA,37,Slovene
1163,16.0395124,3.583518938,9244250,Indo-European,Eurasia,35,Swedish
1166,8.294299609,3.295836866,4000,Arawakan,South America,26,Yine
1173,8.891649113,2.708050201,7270,Sepik,Papunesia,14,Abau
1175,13.24274038,3.80666249,563960,Sino-Tibetan,Eurasia,44,Akha
1177,8.394121194,2.995732274,4420,Border,Papunesia,19,Amanab
1179,6.908754779,2.944438979,1000,South Bird's Head Family,Papunesia,18,Arandai
1181,4.110873864,4.007333185,60,Athabaskan-Eyak-Tlingit,North America,54,Tanacross
1182,8.987321813,2.890371758,8000,Nuclear Torricelli,Papunesia,17,Au
1183,8.26898821,3.295836866,3900,Austronesian,Papunesia,26,Tinputz
1184,9.210440367,3.433987204,10000,Austronesian,Papunesia,30,Petats
1185,7.438971592,3.80666249,1700,Austronesian,Papunesia,44,Patep
1186,12.10071769,3.433987204,180000,NA,NA,30,Kela
1187,8.006700845,3.091042453,3000,Austronesian,Papunesia,21,Sursurunga
1188,7.550135342,3.258096538,1900,Nuclear Trans New Guinea,Papunesia,25,Awara
1189,9.852246888,4.043051268,19000,Atlantic-Congo,Africa,56,Awing
1190,6.552507887,2.944438979,700,Sepik,Papunesia,18,Awtuw
1191,10.10646921,3.433987204,24500,Atlantic-Congo,Africa,30,Baba
1192,10.57134257,3.526360525,39000,Atlantic-Congo,Africa,33,Babanki
1193,10.81979828,3.526360525,50000,Atlantic-Congo,Africa,33,Bakoko
1195,10.34177474,3.496507561,31000,Atlantic-Congo,Africa,32,Bamunka
1196,9.546884035,3.713572067,14000,Atlantic-Congo,Africa,40,Bangolan
1198,7.230563153,2.890371758,1380,Austronesian,Papunesia,17,Bariai
1199,8.000014094,4.094344562,2980,Atlantic-Congo,Africa,59,Befang
1201,15.22893383,3.258096538,4110000,NA,NA,25,Bemba
1204,11.15626481,3.218875825,70000,Austronesian,Papunesia,24,Biak
1206,8.853808275,3.583518938,7000,Nuclear Trans New Guinea,Papunesia,35,Binandere
1208,11.51293546,3.663561646,1.00E+05,Afro-Asiatic,Africa,38,Bole
1209,9.220389708,3.401197382,10100,Central Sudanic,Africa,29,Bongo
1210,14.10397807,3.258096538,1334380,NA,NA,25,Boro
1211,9.210440367,3.737669618,10000,Indo-European,Eurasia,41,Brokskat
1213,6.398594935,3.688879454,600,Bookkeeping,Africa,39,Bubia
1216,7.021976423,4.007333185,1120,Atlantic-Congo,Africa,54,Totela
1221,11.32660793,4.060443011,83000,NA,NA,57,Jiarong
1222,10.19991874,3.465735903,26900,NA,NA,31,Suri
1223,9.075779879,3.737669618,8740,,Papunesia,41,Bilua
1224,6.133398043,3.091042453,460,Austronesian,Papunesia,21,Hoava
1225,17.62217307,3.33220451,4.50E+07,Austronesian,Papunesia,27,Filipino
1227,12.61154109,3.526360525,3.00E+05,Austronesian,Papunesia,33,Muna
1231,7.46221494,2.944438979,1740,,Australia,18,Tiwi
1232,11.28979441,3.951243719,80000,Indo-European,Eurasia,51,Torwali
1234,11.50086301,3.63758616,98800,Sino-Tibetan,Eurasia,37,Tshangla
1240,13.37700715,3.931825633,645000,Indo-European,Eurasia,50,Mewati
1242,11.60824474,3.496507561,110000,Sino-Tibetan,Eurasia,32,Zaiwa
1243,6.398594935,3.258096538,600,Muskogean,North America,25,Chickasaw
1244,12.61154109,3.688879454,3.00E+05,Indo-European,Eurasia,39,Friulian
1246,7.824445931,3.688879454,2500,Atlantic-Congo,Africa,39,Ega
1251,8.284251798,3.17805383,3960,Siouan,North America,23,Crow
1258,15.9213507,4.110873864,8214000,Atlantic-Congo,Africa,60,Akan
1278,5.525452939,3.295836866,250,NA,NA,26,Nen
1287,12.97154281,3.63758616,430000,NA,NA,37,"Songhay, Koyraboro Senni"
1288,10.16589028,3.610917913,26000,NA,NA,36,Lele
1289,10.16589028,3.610917913,26000,NA,NA,36,Lele
1290,10.04329297,3.610917913,23000,NA,NA,36,Lele
1291,8.131824785,3.610917913,3400,NA,NA,36,Lele
1308,5.942799375,4.094344562,380,Arawan,South America,59,Madi
1309,11.15626481,3.663561646,70000,Central Sudanic,Africa,38,Moru
1310,12.25486757,3.688879454,210000,Central Sudanic,Africa,39,Logo
1311,8.294299609,3.295836866,4000,Nyimang,Africa,26,Afitti
1312,10.21100902,3.931825633,27200,Atlantic-Congo,Africa,50,Avatime
1313,10.1266711,3.713572067,25000,Atlantic-Congo,Africa,40,Abua
1315,10.30898599,3.663561646,30000,Afro-Asiatic,Africa,38,Dghwede
1316,10.1266711,3.951243719,25000,Atlantic-Congo,Africa,51,Eloyi
1321,11.60824474,3.610917913,110000,NA,NA,36,Kofyar
1322,10.96821553,3.80666249,58000,Atlantic-Congo,Africa,44,Krache
1324,8.922791624,3.850147602,7500,NA,NA,46,"Banda, West Central"
1325,12.4292202,4.110873864,250000,NA,NA,60,"Dinka, South Central"
1326,10.14647295,3.80666249,25500,Atlantic-Congo,Africa,44,Foodo
1328,11.15626481,3.688879454,70000,Nilotic,Africa,39,Jumjum
1329,10.62135174,3.663561646,41000,Nilotic,Africa,38,Burun
1331,14.37512692,3.496507561,1750000,Afro-Asiatic,Africa,32,Maay
1332,10.81979828,3.828641396,50000,Nilotic,Africa,45,Mabaan
1335,15.91589391,4.442651256,8169300,Atlantic-Congo,Africa,84,Xhosa
1336,11.18304545,3.63758616,71900,Atlantic-Congo,Africa,37,Siwu
1337,12.08954445,3.465735903,178000,Atlantic-Congo,Africa,31,Sherbro
1343,12.69465573,3.610917913,326000,Atlantic-Congo,Africa,36,Mampruli
1347,14.60850353,3.713572067,2210000,Atlantic-Congo,Africa,40,Tiv
1349,12.3194058,3.433987204,224000,Afro-Asiatic,Africa,30,Xamtanga
1350,11.00211651,3.828641396,60000,NA,NA,45,Lika
1354,11.51293546,3.496507561,1.00E+05,Atlantic-Congo,Africa,32,Lengola
1356,9.44943601,3.218875825,12700,Atlantic-Congo,Africa,24,Wongo
1358,14.49252886,3.33220451,1968000,Afro-Asiatic,Africa,27,Afar
1359,12.69680066,4.219507705,326700,Atlantic-Congo,Africa,67,Mundang
1360,3.63758616,4.143134726,37,NA,NA,62,Mono
1361,11.08215793,4.143134726,65000,NA,NA,62,Mono
1362,7.986504939,4.143134726,2940,NA,NA,62,Mono
1363,5.707110265,4.143134726,300,NA,NA,62,Mono
1364,12.55673304,4.043051268,284000,Atlantic-Congo,Africa,56,Tupuri
1365,9.915959454,4.043051268,20250,Atlantic-Congo,Africa,56,Kuo
1366,5.942799375,4.060443011,380,NA,NA,57,Kare
1367,11.48720758,4.060443011,97460,NA,NA,57,Kare
1378,9.952325335,3.555348061,21000,Atlantic-Congo,Africa,34,Avikam
1379,12.07254697,4.007333185,175000,Nilotic,Africa,54,Shilluk
1381,10.1266711,3.433987204,25000,Afro-Asiatic,Africa,30,Pero
1383,14.15269754,4.043051268,1401000,Afro-Asiatic,Africa,56,Hadiyya
1385,11.91839724,4.025351691,150000,NA,NA,55,Nyanga
1386,11.81303746,4.043051268,135000,Nilotic,Africa,56,Otuho
1389,11.57214675,3.33220451,106100,Mande,Africa,27,Manya
1392,11.53077521,4.262679877,101800,Songhay,Africa,70,Tadaksahak
1393,13.58269665,4.094344562,792300,Afro-Asiatic,Africa,59,Kambaata
1394,9.210440367,3.80666249,10000,Heibanic,Africa,44,Otoro
1395,10.59665973,3.761200116,40000,Heibanic,Africa,42,Tira
1396,4.615120517,4.043051268,100,Afro-Asiatic,Africa,56,Nyam
1399,8.788898309,3.526360525,6560,NA,NA,33,Mawa
1401,10.69876253,3.828641396,44300,NA,NA,45,Koalib
1402,12.39255636,3.465735903,241000,Atlantic-Congo,Africa,31,Kagulu
1406,5.303304908,3.761200116,200,Ijoid,Africa,42,Defaka
1407,12.65396166,3.663561646,313000,Atlantic-Congo,Africa,38,Tee
1408,14.46575076,3.63758616,1916000,Nilotic,Africa,37,Kipsigis
1409,11.4616427,3.583518938,95000,Atlantic-Congo,Africa,35,Pangwa
1410,9.648659817,3.295836866,15500,Atlantic-Congo,Africa,26,Holoholo
1411,7.832410927,3.850147602,2520,NA,NA,46,Buli
1412,12.03172521,3.850147602,168000,NA,NA,46,Buli
1415,14.24391129,4.532599493,1534800,Mande,Africa,92,Dan
1417,15.79214263,3.688879454,7218390,Indo-European,Africa,39,Afrikaans
1418,10.75664677,3.663561646,46940,Afro-Asiatic,Africa,38,Argobba
1419,10.42141788,3.555348061,33570,Afro-Asiatic,Africa,34,Harari
1420,14.12732484,3.912023005,1365900,Nilotic,Africa,49,Dinka
1421,12.80957134,3.713572067,365700,NA,NA,40,Nzema
1422,12.07254697,3.713572067,175000,Atlantic-Congo,Africa,40,Ahanta
1424,9.210440367,3.784189634,10000,Afro-Asiatic,Africa,43,Buwal
1426,10.59665973,3.737669618,40000,Afro-Asiatic,Africa,41,Lamang
1427,12.20607765,3.850147602,2.00E+05,Atlantic-Congo,Africa,46,Ikwere
1428,9.210440367,3.737669618,10000,Afro-Asiatic,Africa,41,Lagwan
1430,9.615872145,3.828641396,15000,Afro-Asiatic,Africa,45,Mbuko
1431,9.047939083,3.871201011,8500,Afro-Asiatic,Africa,47,Moloko
1432,10.30898599,3.850147602,30000,Afro-Asiatic,Africa,46,Muyang
1433,11.05090588,3.33220451,63000,Atlantic-Congo,Africa,27,Ngomba
1435,11.01864554,3.713572067,61000,Atlantic-Congo,Africa,40,Nateni
1437,8.987321813,3.871201011,8000,Atlantic-Congo,Africa,47,Weh
1438,7.824445931,4.094344562,2500,Kadugli-Krongo,Africa,59,Tulishi
1439,8.711278615,4.094344562,6070,Kadugli-Krongo,Africa,59,Keiga
1440,9.985113621,4.143134726,21700,Kadugli-Krongo,Africa,62,Krongo
1446,10.81979828,4.007333185,50000,Central Sudanic,Africa,54,Morokodo
1447,13.11231506,3.912023005,495000,Central Sudanic,Africa,49,Aringa
1449,9.615872145,3.583518938,15000,Narrow Talodi,Africa,35,Lumun
1453,11.00211651,4.077537444,60000,Surmic,Africa,58,Didinga
1454,11.28979441,3.496507561,80000,Nilotic,Africa,32,Luwo
1455,14.23881624,3.401197382,1527000,NA,NA,29,Acholi
1457,9.680406499,3.784189634,16000,Atlantic-Congo,Africa,43,Belanda Viri
1458,9.903537551,3.663561646,20000,Atlantic-Congo,Africa,38,Ndogo
1459,12.4292202,3.850147602,250000,Afro-Asiatic,Africa,46,Bade
1461,12.23077014,3.401197382,205000,Atlantic-Congo,Africa,29,Jita
1462,7.003974137,4.304065093,1100,South Omotic,Africa,73,Dime
1466,11.00211651,3.951243719,60000,Atlantic-Congo,Africa,51,Bafia
1467,14.57163301,3.713572067,2130000,NA,NA,40,Lango
1468,10.54536775,3.713572067,38000,NA,NA,40,Lango
1470,13.18063417,3.610917913,530000,Atlantic-Congo,Africa,36,Nyole
1475,9.210440367,3.610917913,10000,Atlantic-Congo,Africa,36,Degema
1477,5.303304908,3.465735903,200,Indo-European,Africa,31,Principense
1478,9.923339198,3.555348061,20400,Atlantic-Congo,Africa,34,Nkonya
1492,10.70998574,3.891820298,44800,Central Sudanic,Africa,48,Bagirmi
1493,11.51293546,4.043051268,1.00E+05,Central Sudanic,Africa,56,Ngiti
1497,11.38850671,3.80666249,88300,Central Sudanic,Africa,44,Mbay
1498,12.29683157,3.80666249,219000,NA,NA,44,Gumuz
1499,3.931825633,3.36729583,50,Kuliak,Africa,28,Soo
1501,12.82288129,3.713572067,370600,Ta-Ne-Omotic,Africa,40,Bench
1502,11.43172626,3.713572067,92200,Ta-Ne-Omotic,Africa,40,Yemsa
1504,13.90571774,3.610917913,1094400,Ta-Ne-Omotic,Africa,36,Gamo
1505,11.9789901,4.127134385,159370,Ta-Ne-Omotic,Africa,61,Koorete
1506,12.60585832,3.610917913,298300,South Omotic,Africa,36,Aari
1507,12.89922233,3.36729583,4.00E+05,NA,NA,28,Komo
1508,9.827200284,3.36729583,18530,NA,NA,28,Komo
1511,9.615872145,3.258096538,15000,Koman,Africa,25,Kwama
1512,11.51293546,3.850147602,1.00E+05,Atlantic-Congo,Africa,46,Mayogo
1515,14.72779367,4.234106505,2490000,NA,NA,68,Ndebele
1516,14.30703164,4.234106505,1634800,NA,NA,68,Ndebele
1520,4.189654742,3.465735903,65,Atlantic-Congo,Africa,31,Dompo
1522,8.3918567,3.555348061,4410,NA,NA,34,Heiban
1523,11.00211651,3.784189634,60000,Mande,Africa,43,Koyaga
1527,5.303304908,3.465735903,200,Atlantic-Congo,Africa,31,Mbalanhu
1528,10.30898599,3.63758616,30000,Atlantic-Congo,Africa,37,Kwambi
1533,13.72744517,3.663561646,915700,Atlantic-Congo,Africa,38,Konkomba
1538,13.41503448,3.555348061,670000,NA,NA,34,Bena
1539,11.4616427,3.555348061,95000,NA,NA,34,Bena
1541,9.210440367,3.663561646,10000,Mande,Africa,38,Kakabe
1542,10.16589028,3.36729583,26000,NA,NA,28,Lele
1543,10.16589028,3.36729583,26000,NA,NA,28,Lele
1544,10.04329297,3.36729583,23000,NA,NA,28,Lele
1545,8.131824785,3.36729583,3400,NA,NA,28,Lele
1548,9.615872145,3.63758616,15000,NA,NA,37,Kyanga
1549,8.699681401,3.63758616,6000,Mande,Africa,37,Shanga
1550,10.91692314,3.663561646,55100,Atlantic-Congo,Africa,38,Abure
1551,9.392745259,3.63758616,12000,Atlantic-Congo,Africa,37,Bankon
1553,10.1924563,3.912023005,26700,Atlantic-Congo,Africa,49,Aghem
1554,9.241935934,4.094344562,10320,Afro-Asiatic,Africa,59,Arbore
1555,10.82974842,3.663561646,50500,Atlantic-Congo,Africa,38,Abidji
1556,11.51293546,3.496507561,1.00E+05,Atlantic-Congo,Africa,32,Adioukrou
1558,10.04329297,3.610917913,23000,Atlantic-Congo,Africa,36,Alladian
1561,9.210440367,3.555348061,10000,Atlantic-Congo,Africa,34,Akpes
1562,10.59665973,4.317488114,40000,NA,NA,74,Iten
1563,13.70234298,3.891820298,893000,Nilotic,Africa,48,Nuer
1567,10.81979828,3.688879454,50000,Atlantic-Congo,Africa,39,Izere
1568,10.04329297,3.80666249,23000,Atlantic-Congo,Africa,44,Jere
1570,8.922791624,3.583518938,7500,Atlantic-Congo,Africa,35,Logba
1571,13.22383815,3.688879454,553400,Afro-Asiatic,Africa,39,Awngi
1572,10.35140532,3.784189634,31300,Afro-Asiatic,Africa,43,Glavda
1575,12.95749109,4.248495242,424000,Atlantic-Congo,Africa,69,Ronga
1576,12.75996063,3.688879454,348000,NA,NA,39,"Comorian, Ndzwani"
1580,9.43356392,3.610917913,12500,Indo-European,Africa,36,Angolar
1581,15.32623272,4.110873864,4530000,NA,NA,60,"Oromo, Eastern"
1583,11.51293546,3.496507561,1.00E+05,Atlantic-Congo,Africa,32,Akoose
1588,8.517393171,3.555348061,5000,Atlantic-Congo,Africa,34,Bassossi
1590,14.29360698,3.610917913,1613000,NA,NA,36,Liberian English
1591,11.00211651,3.610917913,60000,Mande,Africa,36,Gban
1592,6.216606101,3.663561646,500,NA,NA,38,Eton
1593,12.4292202,3.663561646,250000,NA,NA,38,Eton
1595,12.99453228,3.828641396,440000,Maban,Africa,45,Masalit
1597,12.20607765,4.110873864,2.00E+05,Afro-Asiatic,Africa,60,Tangale
1598,15.80338504,4.060443011,7300000,Atlantic-Congo,Africa,57,Sukuma
1600,13.48159046,3.583518938,716110,Indo-European,Africa,35,Krio
1601,15.42494867,3.135494216,5.00E+06,NA,NA,22,Kituba
1602,14.21428735,3.135494216,1490000,NA,NA,22,Kituba
1604,10.16589028,3.688879454,26000,Atlantic-Congo,Africa,39,Tuki
1605,10.67361892,3.583518938,43200,NA,NA,35,Baka
1606,10.17736224,3.583518938,26300,NA,NA,35,Baka
1607,9.971192929,3.871201011,21400,Atlantic-Congo,Africa,47,Bum
1608,10.1266711,3.850147602,25000,Afro-Asiatic,Africa,46,Daba
1609,9.615872145,4.025351691,15000,Afro-Asiatic,Africa,55,Gavar
1611,14.57163301,3.496507561,2130000,NA,NA,32,Lango
1612,10.54536775,3.496507561,38000,NA,NA,32,Lango
1613,8.936035097,3.526360525,7600,Atlantic-Congo,Africa,33,Igo
1614,11.70685439,3.871201011,121400,Atlantic-Congo,Africa,47,Kako
1615,9.210440367,3.784189634,10000,Atlantic-Congo,Africa,43,Kwanja
1618,8.294299609,3.970291914,4000,NA,NA,52,Mandara
1628,9.047939083,3.850147602,8500,Afro-Asiatic,Africa,46,Vame
1632,11.08215793,4.060443011,65000,Atlantic-Congo,Africa,57,Mbe
1634,10.11459901,4.49980967,24700,NA,NA,89,Mfumte
1637,5.993961427,3.713572067,400,Atlantic-Congo,Africa,40,Kwami
1643,9.903537551,3.663561646,20000,Afro-Asiatic,Africa,38,Siwi
1644,10.91510665,3.218875825,55000,Atlantic-Congo,Africa,24,Ndamba
1650,7.523481313,3.610917913,1850,Atlantic-Congo,Africa,36,Mungbam
1651,6.216606101,3.663561646,500,Atlantic-Congo,Africa,38,Mundabli
1652,5.303304908,3.688879454,200,Atlantic-Congo,Africa,39,Ajumbu
1653,8.006700845,3.63758616,3000,Atlantic-Congo,Africa,37,Koshin
1654,8.294299609,3.610917913,4000,NA,NA,36,Fang
1655,13.88494427,3.610917913,1071900,NA,NA,36,Fang
1656,12.92683743,4.007333185,411200,Mande,Africa,54,Kuranko
1660,9.903537551,3.465735903,20000,Atlantic-Congo,Africa,31,Mokpwe
1661,10.74507629,3.737669618,46400,,Africa,41,Siamou
1662,12.4292202,3.433987204,250000,Atlantic-Congo,Africa,30,Ngiemboon
1663,10.46313191,3.583518938,35000,NA,NA,35,Nugunu
1666,11.10196026,3.526360525,66300,Afro-Asiatic,Africa,33,Orma
1667,10.11054237,4.204692619,24600,Atlantic-Congo,Africa,66,Pinyin
1668,11.36188162,4.204692619,85980,Atlantic-Congo,Africa,66,Pana
1669,8.96200721,4.204692619,7800,Atlantic-Congo,Africa,66,Pana
1673,10.81979828,3.688879454,50000,NA,NA,39,Toura
1674,7.496097345,3.688879454,1800,NA,NA,39,Toura
1684,8.006700845,3.912023005,3000,Atlantic-Congo,Africa,49,Wawa
1685,15.1754612,3.63758616,3896000,Afro-Asiatic,Africa,37,Tachelhit
1688,12.89922233,3.610917913,4.00E+05,Atlantic-Congo,Africa,36,Fuliiru
1689,11.00211651,4.17438727,60000,,Africa,64,Sandawe
1691,11.66737039,3.401197382,116700,Atlantic-Congo,Africa,29,Ejagham
1692,12.61154109,3.33220451,3.00E+05,Atlantic-Congo,Africa,27,Yemba
1694,11.15769234,3.610917913,70100,Afro-Asiatic,Africa,36,Burji
1695,10.79755313,3.610917913,48900,Atlantic-Congo,Africa,36,Anii
1696,12.18075997,3.583518938,195000,Atlantic-Congo,Africa,35,Fipa
1697,9.546884035,3.713572067,14000,Atlantic-Congo,Africa,40,Nawuri
1698,6.216606101,3.891820298,500,Ta-Ne-Omotic,Africa,48,Anfillo
1701,7.601402335,4.17438727,2000,Atlantic-Congo,Africa,64,Iyive
1703,17.01940638,3.218875825,24628290,Austronesian,Papunesia,24,Tagalog
1705,10.1266711,3.17805383,25000,Austronesian,Papunesia,23,Kimaragang
1706,7.123672785,3.258096538,1240,NA,NA,25,Belait
1709,7.313886832,3.850147602,1500,Austronesian,Eurasia,46,Moklen
1710,8.699681401,3.663561646,6000,Austronesian,Eurasia,38,Moken
1711,13.55414709,3.258096538,770000,Austronesian,Papunesia,25,Nias
1712,18.25070468,3.526360525,84368500,Austronesian,Papunesia,33,Javanese
1713,11.47211389,3.17805383,96000,Austronesian,Papunesia,23,Buol
1715,9.546884035,3.33220451,14000,Austronesian,Papunesia,27,Mori Bawah
1716,12.38839837,3.401197382,240000,Austronesian,Papunesia,29,Kambera
1717,13.04656382,2.944438979,463500,NA,NA,18,Tetun
1719,8.922791624,3.135494216,7500,NA,NA,22,Leti
1721,11.15626481,2.995732274,70000,Austronesian,Papunesia,19,Biak
1728,16.95945036,3.465735903,23195070,Austronesian,Papunesia,31,Indonesian
1730,16.57615327,3.091042453,15810000,Austronesian,Papunesia,21,Cebuano
1732,15.42850235,3.258096538,5017800,NA,NA,25,Bugis
1734,15.56818281,3.258096538,5770000,Austronesian,Papunesia,25,Hiligaynon
1736,15.52569855,3.526360525,5530000,Austronesian,Papunesia,33,Minangkabau
1738,11.28979441,3.761200116,80000,Austronesian,Papunesia,42,Tengger
1743,10.25417963,3.713572067,28400,Sino-Tibetan,Eurasia,40,Apatani
1744,16.36715807,3.63758616,12828220,Indo-European,Eurasia,37,Assamese
1745,14.92473336,3.828641396,3032000,Indo-European,Eurasia,45,Awadhi
1746,11.81303746,3.663561646,135000,Dravidian,Eurasia,38,Badaga
1747,12.75708294,3.988984047,347000,Sino-Tibetan,Eurasia,53,Balti
1749,19.3057493,3.891820298,242315050,Indo-European,Eurasia,48,Bengali
1750,15.01245905,4.143134726,3310000,Indo-European,Eurasia,62,Bhili
1753,9.210440367,4.043051268,10000,Indo-European,Eurasia,56,Brokskat
1754,14.93718845,4.025351691,3070000,Indo-European,Eurasia,55,Bundeli
1757,7.467942332,3.761200116,1750,NA,NA,42,Darmiya
1761,13.82447129,3.091042453,1009000,Sino-Tibetan,Eurasia,21,Garo
1763,17.66262529,4.110873864,46857670,Indo-European,Eurasia,60,Gujarati
1765,13.58357976,3.761200116,793000,Indo-European,Eurasia,42,Halbi
1766,19.37669111,4.077537444,260129750,Indo-European,Eurasia,58,Hindi
1767,13.85473223,3.784189634,1040000,Austroasiatic,Eurasia,43,Ho
1768,12.20607765,3.970291914,2.00E+05,NA,NA,52,Irula
1769,11.51293546,3.951243719,1.00E+05,Indo-European,Eurasia,51,Jaunsari
1770,10.07327252,3.610917913,23700,Austroasiatic,Eurasia,36,Juang
1771,14.3461394,3.737669618,1700000,Indo-European,Eurasia,41,Kangri
1772,17.44620569,3.871201011,37739040,Dravidian,Eurasia,47,Kannada
1776,15.5173455,4.043051268,5484000,Indo-European,Eurasia,56,Kashmiri
1778,12.38939787,3.828641396,240240,Austroasiatic,Eurasia,45,Kharia
1779,13.64472342,3.713572067,843000,Austroasiatic,Eurasia,40,Khasi
1785,14.70074025,3.828641396,2423540,NA,NA,45,Konkani
1786,15.61679799,3.828641396,6057440,NA,NA,45,Konkani
1788,13.26038642,3.63758616,574000,Austroasiatic,Eurasia,37,Korku
1789,6.836259277,3.737669618,930,NA,NA,41,Kota
1790,10.57134257,3.737669618,39000,NA,NA,41,Kota
1791,12.79940225,3.465735903,362000,Dravidian,Eurasia,31,Koya
1792,7.550135342,3.688879454,1900,NA,NA,39,Kui
1793,13.72777274,3.688879454,916000,NA,NA,39,Kui
1795,14.40562839,4.043051268,1804200,NA,NA,56,Kurux
1796,11.97035664,3.871201011,158000,Dravidian,Eurasia,47,Kuvi
1797,11.66993776,3.828641396,117000,NA,NA,45,Ladakhi
1802,17.33863057,3.761200116,33890000,Indo-European,Eurasia,42,Maithili
1803,17.35507183,3.784189634,34451800,Dravidian,Eurasia,43,Malayalam
1807,18.08905739,4.025351691,71775760,Indo-European,Eurasia,55,Marathi
