,logpop,loginv,pop,family.name,area,inv,language
2572,7.065613364,3.850147602,1170,Sino-Tibetan,Eurasia,46,Walungge
2573,13.26038642,3.737669618,574000,Austroasiatic,Eurasia,41,Korku
2578,9.903537551,4.110873864,20000,Sino-Tibetan,Eurasia,60,Ersu
2584,7.496097345,4.48863637,1800,Sino-Tibetan,Eurasia,88,Shixing
2587,19.37669111,4.025351691,260129750,Indo-European,Eurasia,55,Hindi
2592,14.35783543,3.583518938,1720000,Dravidian,Eurasia,35,Tulu
2604,17.35507183,3.988984047,34451800,Dravidian,Eurasia,53,Malayalam
2608,9.615872145,3.912023005,15000,Austroasiatic,Eurasia,49,Temiar
2613,12.65664177,3.828641396,313840,Indo-European,Eurasia,45,Icelandic
2620,11.0524919,3.63758616,63100,Uralic,Eurasia,37,Komi-Permyak
2625,5.564520407,4.043051268,260,Nakh-Daghestanian,Eurasia,56,Karata
2634,11.58989577,3.433987204,108000,Indo-European,Eurasia,30,Waneci
2650,12.61194101,4.127134385,300120,Tai-Kadai,Eurasia,61,Sui
2651,15.76376097,3.258096538,7016400,NA,NA,25,Ilocano
2653,13.24274038,4.060443011,563960,Sino-Tibetan,Eurasia,57,Akha
2656,18.03451506,3.610917913,67965790,Dravidian,Eurasia,36,Tamil
2664,14.68764081,3.433987204,2392000,Indo-European,Eurasia,30,Galician
2672,12.41714766,3.688879454,247000,Austroasiatic,Eurasia,39,Pnar
2674,6.97634807,3.295836866,1070,Maningrida,Australia,26,Burarra
2676,6.018593214,3.17805383,410,Bunaban,Australia,23,Gooniyandi
2685,3.988984047,3.465735903,53,Western Daly,Australia,31,Marti Ke
2690,4.094344562,2.890371758,59,Garrwan,Australia,17,Garrwa
2696,7.163172391,3.295836866,1290,Gunwinyguan,Australia,26,Anindilyakwa
2697,2.48490665,3.401197382,11,NA,NA,29,Dalabon
2711,0.693147181,3.218875825,1,Iwaidjan Proper,Australia,24,Amurdak
2717,4.94875989,3.17805383,140,Iwaidjan Proper,Australia,23,Iwaidja
2723,4.060443011,3.258096538,57,Maningrida,Australia,25,Nakara
2726,2.564949357,3.295836866,12,Mangarrayi-Maran,Australia,26,Alawa
2735,4.49980967,3.17805383,89,NA,NA,23,Wambaya
2742,5.081404365,3.218875825,160,Nyulnyulan,Australia,24,Bardi
2747,7.41517511,3.784189634,1660,Pama-Nyungan,Australia,43,Alyawarr
2756,4.94875989,3.784189634,140,Pama-Nyungan,Australia,43,Kaytetye
2764,3.583518938,3.091042453,35,NA,NA,21,Gamilaraay
2777,3.401197382,2.833213344,29,Pama-Nyungan,Australia,16,Dyirbal
2783,2.397895273,3.218875825,10,Pama-Nyungan,Australia,24,Yanda
2805,4.615120517,3.433987204,100,Pama-Nyungan,Australia,30,Wangkumara
2806,2.564949357,3.218875825,12,Pama-Nyungan,Australia,24,Arabana
2813,1.386294361,3.17805383,3,Pama-Nyungan,Australia,23,Badimaya
2815,7.598900457,3.526360525,1995,Pama-Nyungan,Australia,33,Nhanda
