"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.101,"-162.790697674419","108","73","287","y",104
0.057,"-142.857142857143","91","67","471","n",89
0.041,"-533.333333333333","103","65","856","n",92
0.121,"-100.917431192661","125","80","650","n",119
0.128,"89.2857142857144","128","79","675","y",126
0.079,"-83.3333333333334","125","76","536","n",122
0.098,"-119.047619047619","123","75","710","n",121
0.093,"-307.692307692307","134","78","619","y",131
0.274,"-134.751773049645","123","72","621","n",115
0.096,"105.263157894737","124","73","348","y",120
0.071,"-866.666666666672","112","70","370","n",102
0.139,"-114.285714285714","119","77","452","n",108
0.099,"-314.606741573034","129","74","503","y",107
0.085,"-136.363636363636","97","68","673","n",93
0.04,"-599.999999999995","99","73","753","n",96
0.11,"-181.818181818182","122","79","629","n",109
0.103,"78.9473684210526","118","77","534","y",118
0.07,"-126.984126984127","119","75","453","n",116
0.072,"-433.333333333333","118","76","683","n",107
0.174,"33.3333333333333","138","83","430","y",137
0.111,"-178.571428571429","140","80","485","n",137
0.174,"-57.6923076923077","129","81","580","n",127
0.088,"241.935483870968","149","81","323","y",142
0.084,"-270.27027027027","137","80","405","n",128
0.125,"-155.963302752294","132","82","662","n",121
0.111,"126.760563380281","135","82","665","y",132
0.093,"-83.3333333333333","128","80","570","n",124
0.106,"-145.833333333334","113","78","675","n",107
0.076,"-279.411764705882","120","81","597","y",109
0.067,"-316.666666666666","96","69","980","n",90
0.209,"-91.8918918918919","123","80","483","y",117
0.138,"-193.548387096774","113","77","507","n",100
0.091,"-375","86","61","817","n",80
0.204,"-190.217391304348","138","81","444","y",121
0.099,"258.426966292135","136","80","743","n",128
0.082,"118.64406779661","145","81","387","n",142
0.086,"-350.64935064935","133","78","575","n",122
0.062,"-450.980392156863","121","76","697","n",111
0.265,"-100.840336134454","117","75","462","n",104
0.207,"77.4193548387097","132","77","490","y",125
0.116,"55.5555555555555","131","75","636","n",130
0.13,"330.097087378641","177","81","547","y",158
0.22,"113.40206185567","130","81","668","n",125
0.117,"-180.952380952381","109","76","579","y",100
0.278,"-183.246073298429","135","80","421","n",125
0.154,"115.702479338843","148","84","661","y",143
0.185,"-132.530120481928","134","80","620","n",121
0.14,"-174.603174603174","112","79","539","y",104
0.141,"190.082644628099","149","81","468","y",137
0.119,"438.356164383561","193","80","455","n",176
0.096,"-153.846153846154","111","77","483","y",110
0.076,"-285.714285714286","96","71","419","n",88
0.229,"-161.290322580645","123","77","397","y",118
0.077,"-442.857142857143","123","74","308","n",104
0.12,"-222.222222222222","89","59","497","n",88
0.15,"-88.8888888888889","129","78","416","y",120
0.077,"-231.884057971014","131","76","301","n",124
0.242,"-225.274725274725","125","74","579","n",107
0.085,"-173.333333333333","140","80","338","y",130
0.049,"-555.555555555556","119","69","323","n",104
0.244,"-178.743961352657","124","74","484","n",108
0.136,"-172.131147540984","115","73","303","y",105
0.051,"-466.666666666666","107","66","509","n",97
0.153,"156.25","140","82","347","y",130
0.06,"-129.62962962963","147","80","307","n",143
0.117,"-236.842105263158","116","76","418","y",109
0.067,"-350","112","69","282","n",99
0.259,"-60.3448275862069","107","72","433","n",99
0.147,"49.5867768595041","119","81","436","y",116
0.094,"-261.904761904762","117","76","383","n",107
0.085,"-578.947368421052","121","74","491","n",100
0.128,"95.6521739130435","131","83","433","y",124
0.093,"-130.952380952381","130","80","410","n",125
0.097,"-195.402298850575","129","78","317","n",118
0.065,"-271.186440677966","106","73","375","n",99
0.131,"145.299145299145","134","81","449","y",124
0.101,"-80.4597701149426","135","78","388","n",131
0.098,"-300","142","78","302","n",135
0.068,"387.096774193548","175","77","358","n",158
0.115,"103.092783505155","132","81","437","y",126
0.083,"-216.216216216216","120","77","396","n",114
0.089,"-275","124","79","301","n",109
0.07,"-158.730158730159","98","74","287","n",95
0.105,"50.8474576271186","102","75","405","y",100
0.069,"-214.285714285714","101","70","324","n",95
0.076,"-382.35294117647","114","71","276","n",96
0.053,"-186.046511627907","83","61","799","n",80
0.238,"-172.093023255814","133","76","394","n",113
0.151,"-46.1538461538462","117","79","417","y",113
0.093,"-282.051282051282","103","71","425","n",92
0.155,"-153.846153846154","123","78","338","y",118
0.086,"-129.87012987013","147","81","599","n",140
0.114,"-343.75","140","78","621","y",133
0.251,"-203.703703703704","147","80","419","n",129
0.166,"-259.259259259258","142","81","430","y",136
0.095,"-282.352941176471","125","76","349","n",113
0.203,"-232.876712328767","129","75","340","y",116
0.164,"-194.915254237288","142","78","379","n",132
0.126,"-166.666666666667","140","77","546","y",128
0.059,"172.413793103449","126","73","273","n",123
0.168,"-269.84126984127","119","71","524","y",107
0.171,"-632.653061224491","118","72","362","n",106
0.098,"-215.909090909091","118","74","429","y",106
0.058,"-108.695652173913","95","68","236","n",92
0.146,"-307.692307692308","143","81","619","y",135
0.1,"-475.000000000001","159","76","321","n",152
0.238,"35.7142857142857","107","68","541","y",104
0.113,"-147.058823529412","120","74","344","y",109
0.1,"135.593220338983","114","71","289","n",111
0.156,"-202.898550724637","119","72","263","y",108
0.079,"-225","99","68","563","n",94
0.085,"0","90","50","689","n",90
0.13,"-317.073170731707","114","74","367","n",105
0.067,"-573.770491803279","124","70","358","y",100
0.128,"141.176470588235","124","72","265","y",118
0.091,"-545.454545454545","143","73","462","n",120
0.183,"-67.0731707317073","113","74","293","y",106
0.175,"373.239436619718","166","73","453","n",133
0.195,"-100","111","70","263","y",107
0.081,"-400","135","74","333","n",127
0.146,"66.6666666666666","114","75","309","y",112
0.07,"-280.701754385965","109","69","314","n",99
0.195,"190.184049079755","156","77","324","y",139
0.139,"-127.272727272727","164","77","429","n",160
0.22,"148.571428571429","154","78","392","y",141
0.096,"-250","166","73","319","n",164
0.166,"-253.333333333333","146","78","699","n",125
0.15,"157.894736842105","149","80","373","y",141
0.131,"-398.058252427185","171","76","655","n",145
0.161,"-159.090909090909","124","74","638","n",117
0.137,"142.857142857143","132","75","700","y",126
0.093,"-445.783132530121","141","78","380","n",122
0.132,"-161.016949152542","124","74","468","y",113
0.078,"-227.272727272728","103","72","285","n",98
0.159,"-133.333333333333","106","63","804","n",101
0.191,"-140.939597315436","105","64","858","y",95
0.244,"-71.4285714285714","114","67","412","n",111
0.098,"54.5454545454546","117","68","552","n",115
0.104,"-180.851063829787","107","75","311","n",101
0.09,"-111.111111111111","107","75","403","y",106
0.075,"-500","121","70","551","n",100
0.181,"-261.194029850746","119","73","616","n",112
0.15,"198.198198198198","132","74","546","y",123
0.062,"267.857142857143","171","74","390","n",160
0.095,"200","106","71","466","n",103
0.142,"442.105263157895","137","75","613","y",121
0.076,"-349.206349206349","118","69","302","n",106
0.198,"-286.713286713287","125","71","736","n",105
0.117,"116.279069767442","111","74","504","y",105
0.059,"-431.372549019607","108","70","390","n",98
0.063,"-107.142857142857","120","75","330","y",117
0.093,"-142.857142857143","114","72","364","n",109
0.113,"-79.9999999999999","116","76","485","y",114
0.041,"-793.103448275861","124","73","508","n",116
0.192,"-150","112","69","748","n",104
0.111,"-89.2857142857142","111","76","561","y",109
0.061,"-527.272727272728","112","69","450","n",94
0.107,"-150.684931506849","138","77","307","y",128
0.064,"269.230769230769","151","76","631","n",142
0.088,"-190.47619047619","113","75","542","y",111
0.054,"-999.999999999999","125","71","626","n",102
0.139,"440.677966101695","112","69","553","n",104
0.108,"210.526315789475","110","73","672","y",108
0.062,"-404.761904761907","109","68","414","n",99
0.267,"-149.732620320856","114","71","730","n",102
0.17,"-72.4637681159421","99","72","633","y",97
0.062,"-341.463414634147","96","69","421","n",91
0.141,"-220.472440944882","115","69","818","n",103
0.096,"131.578947368421","109","72","637","y",106
0.053,"-388.888888888891","97","66","419","n",93
0.168,"-215.384615384615","113","74","688","n",98
0.098,"-120.481927710843","122","78","434","y",116
0.111,"-256.756756756757","113","72","547","n",107
0.201,"-241.573033707865","130","72","549","n",108
0.133,"67.3076923076922","111","74","601","y",107
0.069,"-490.196078431371","115","76","394","n",106
0.078,"81.6326530612242","100","65","334","n",99
0.299,"-91.3461538461538","111","69","687","n",105
0.117,"136.363636363636","115","76","609","y",110
0.121,"-456.310679611651","132","77","409","n",109
0.098,"-421.052631578948","119","71","330","n",112
0.153,"104.838709677419","135","81","386","y",130
0.071,"-296.875","121","75","345","n",112
0.073,"-520.000000000001","115","72","618","n",100
0.067,"-377.049180327869","123","75","385","n",107
0.052,"-235.294117647059","91","62","395","n",88
0.097,"-64.516129032258","141","81","392","n",140
0.066,"-350.877192982457","138","80","580","n",130
0.08,"-222.222222222223","147","81","395","n",135
0.116,"116.279069767442","138","78","379","n",135
0.069,"-225.806451612904","142","82","416","n",132
0.05,"-399.999999999991","126","78","295","y",124
0.059,"-850.000000000009","123","74","1034","n",108
0.074,"-417.910447761194","130","83","396","n",115
0.044,"-586.206896551724","114","74","313","y",109
0.031,"-160","109","73","474","n",107
0.063,"-639.999999999999","96","64","752","n",89
0.061,"-290.909090909091","119","77","402","n",110
0.046,"-444.444444444444","112","73","333","y",110
0.112,"115.789473684211","120","77","370","y",114
0.055,"-224.489795918367","114","73","323","n",108
0.057,"-319.148936170213","118","76","456","n",111
0.069,"-180.327868852459","117","75","481","n",109
0.078,"22.7272727272727","109","67","220","n",108
0.11,"341.176470588235","164","81","372","y",153
0.067,"-163.934426229508","140","78","383","n",134
0.071,"-187.5","138","78","665","n",130
0.06,"-74.074074074074","131","74","378","n",129
0.074,"-60.6060606060606","130","81","355","n",128
0.132,"-895.833333333333","169","83","366","y",142
0.105,"-170.212765957447","131","79","330","n",121
0.067,"-233.333333333334","121","78","344","n",113
0.086,"-93.7500000000001","113","71","351","y",111
0.129,"-86.9565217391306","126","72","679","n",120
0.101,"-95.2380952380953","125","81","332","n",121
0.127,"200","152","86","400","y",149
0.086,"-192.307692307692","144","84","426","n",136
0.061,"-127.272727272727","128","83","392","n",125
0.114,"138.297872340426","159","87","386","y",155
0.088,"-80.0000000000001","147","84","388","n",146
0.073,"-281.25","150","85","489","n",143
0.067,"-216.666666666666","154","85","670","n",145
0.128,"72.9166666666666","152","79","409","n",148
0.241,"155.339805825243","145","82","360","y",141
0.075,"-176.470588235294","119","75","339","n",112
0.08,"-180.555555555556","113","74","703","n",105
0.087,"-70.4225352112677","96","65","725","n",93
0.115,"-98.0392156862745","138","84","364","n",136
0.096,"169.811320754717","156","86","370","y",153
0.03,"-407.407407407407","132","81","365","n",127
0.048,"-599.999999999999","116","79","335","n",108
0.111,"-50","106","77","377","y",103
0.088,"111.111111111111","128","82","369","n",126
0.049,"-272.727272727272","111","77","375","n",105
0.041,"-428.57142857143","97","72","383","n",93
0.13,"-450","88","59","418","n",85
0.122,"100","148","84","392","y",147
0.072,"-363.636363636364","137","83","368","n",128
0.064,"-666.666666666666","139","81","353","n",122
0.1,"-235.955056179775","128","79","703","n",115
0.046,"-292.682926829267","103","74","360","n",97
0.108,"-175.257731958763","132","82","338","n",125
0.086,"-461.538461538462","147","82","362","y",140
0.076,"-558.823529411764","134","76","345","n",113
0.07,"-238.095238095238","116","75","523","n",107
0.061,"-92.5925925925927","97","64","208","n",94
0.16,"-53.0973451327434","119","79","384","n",117
0.116,"194.174757281553","142","80","382","y",134
0.116,"-145.161290322581","132","73","335","n",125
0.197,"-129.943502824859","148","85","380","n",139
0.145,"179.245283018868","160","84","413","y",155
0.133,"-67.2268907563025","129","81","449","n",126
0.114,"-156.862745098039","121","77","450","n",112
0.076,"-491.228070175439","124","70","504","n",115
0.122,"-91.743119266055","113","78","430","n",108
0.062,"-254.545454545454","100","73","525","y",94
0.062,"-500","110","66","439","n",101
0.206,"-155.913978494624","140","80","560","n",123
0.116,"72.9166666666667","123","80","399","y",119
0.053,"-680.851063829788","127","76","346","n",113
0.088,"-316.455696202532","118","73","319","n",104
0.142,"-96","116","74","589","n",109
0.017,"0","98","56","512","n",98
0.119,"-28.0373831775701","114","72","311","n",112
0.091,"30.7692307692308","118","72","332","y",118
0.05,"-260.869565217391","112","71","293","n",106
0.067,"-99.9999999999999","97","66","592","n",93
0.114,"-106.796116504854","119","77","364","y",113
0.109,"214.285714285714","124","74","407","n",114
0.106,"-126.315789473684","116","78","411","n",109
0.203,"-53.5714285714286","104","75","383","n",102
0.103,"-53.7634408602151","97","71","297","n",96
0.069,"-183.333333333333","97","67","277","n",92
0.14,"-142.857142857143","115","77","408","n",103
0.099,"-22.4719101123596","92","65","469","n",91
0.108,"-20.6185567010309","132","79","371","n",131
0.222,"-90","116","75","353","y",106
0.088,"35.7142857142857","95","63","537","n",94
0.185,"121.794871794872","144","82","396","n",139
0.134,"-100","126","80","395","y",120
0.102,"-87.9120879120879","113","78","473","n",109
0.115,"-105.769230769231","102","70","285","n",97
0.111,"-18.1818181818182","113","77","367","n",112
0.089,"-87.5","106","75","368","y",102
0.109,"-81.6326530612245","98","72","299","n",94
0.046,"-95.2380952380952","84","61","1420","n",83
0.12,"211.111111111111","153","83","367","n",146
0.099,"-123.595505617977","129","82","394","y",124
0.13,"-85.4700854700855","116","80","604","n",110
0.071,"-166.666666666667","105","75","356","n",103
0.174,"211.382113821138","143","80","345","n",133
0.074,"-343.283582089552","124","78","348","y",114
0.251,"-66.3716814159292","116","76","627","n",107
0.125,"-79.646017699115","101","71","350","n",95
0.168,"155.555555555556","132","78","390","n",126
0.062,"-375","114","73","353","y",106
0.124,"-151.785714285714","116","74","595","n",106
0.129,"-60.344827586207","96","66","527","n",91
0.049,"0","85","55","487","n",85
0.141,"217.821782178218","165","81","335","y",157
0.076,"-420.289855072464","142","75","334","n",133
0.092,"-108.433734939759","128","76","629","n",123
0.081,"-123.287671232877","114","74","606","n",110
0.083,"-94.5945945945947","108","68","492","n",104
0.187,"-61.8556701030928","113","75","377","y",111
0.043,"-472.222222222223","116","77","390","n",111
0.116,"-144.230769230769","113","74","360","n",105
0.151,"-73.5294117647059","99","71","618","n",94
0.05,"-86.9565217391304","83","59","376","n",82
0.146,"151.162790697674","138","79","383","y",134
0.048,"-279.069767441861","112","73","359","n",107
0.083,"-226.666666666666","110","72","584","n",100
0.044,"-76.9230769230768","90","65","371","n",88
0.117,"130.952380952381","141","82","392","y",136
0.062,"-428.571428571429","127","78","405","n",113
0.082,"-324.324324324325","133","78","698","n",116
0.125,"-150.442477876106","102","70","286","n",95
0.151,"194.029850746269","167","84","392","n",156
0.12,"-111.111111111111","148","82","407","y",143
0.11,"-80.8080808080808","130","81","465","n",128
0.072,"-184.615384615384","120","78","659","n",115
0.089,"-101.449275362319","118","77","395","n",114
0.089,"-75.0000000000001","105","69","419","n",101
0.128,"-1287.87878787879","198","87","358","n",159
0.104,"-107.52688172043","145","83","342","y",141
0.192,"-181.818181818182","132","79","454","n",129
0.068,"-229.508196721311","130","75","358","n",121
0.083,"-186.666666666667","105","72","605","n",99
0.152,"94.017094017094","167","83","336","n",161
0.114,"-73.5294117647058","148","82","396","y",145
0.172,"-100","143","77","364","n",140
0.139,"48.0769230769231","143","84","382","n",140
0.087,"-115.384615384615","134","82","377","y",129
0.073,"-136.363636363636","122","76","354","n",118
0.038,"-699.999999999999","145","80","469","n",130
0.069,"-178.571428571428","129","76","518","n",123
0.082,"113.207547169811","144","80","392","n",141
0.091,"-85.3658536585366","131","77","373","y",126
0.068,"-129.032258064516","120","74","378","n",116
0.037,"-411.764705882353","131","75","465","n",123
0.044,"-677.419354838709","111","69","376","n",103
0.1,"-277.777777777778","118","76","389","n",111
0.081,"-109.58904109589","108","76","326","y",104
0.082,"-121.621621621622","98","73","301","n",93
0.116,"-31.9148936170213","88","70","500","n",86
0.054,"-181.818181818182","82","59","906","n",79
0.123,"224.719101123595","158","79","340","n",150
0.087,"-240.506329113924","141","77","329","y",130
0.134,"-90.9090909090909","115","76","406","n",108
0.098,"-102.272727272727","104","74","322","n",100
0.106,"-84.2105263157894","96","67","251","n",92
0.088,"285.714285714286","150","81","341","n",141
0.064,"-442.307692307692","126","75","355","y",111
0.072,"-123.076923076923","109","77","657","n",104
0.069,"-129.032258064516","101","74","648","n",97
0.057,"-86.9565217391304","93","65","229","n",91
0.124,"180.722891566265","147","83","386","n",142
0.077,"-275.36231884058","124","77","395","y",114
0.097,"-80.4597701149425","112","77","380","n",107
0.072,"-76.923076923077","104","76","465","y",101
0.058,"-134.615384615385","99","70","299","n",95
0.145,"163.934426229508","141","78","363","n",133
0.132,"-151.260504201681","130","77","330","y",123
0.114,"-196.078431372549","110","76","365","n",103
0.105,"-500","126","74","347","n",100
0.19,"57.3770491803279","148","85","370","y",146
0.225,"-215.469613259669","135","80","361","n",122
0.137,"-373.983739837399","131","77","615","n",105
0.111,"-131.313131313131","131","81","370","y",125
0.227,"-284.76821192053","150","81","367","n",133
0.179,"-182.432432432433","115","73","474","n",98
0.172,"-149.350649350649","145","80","397","y",131
0.095,"58.8235294117648","124","76","432","n",123
0.113,"139.240506329114","137","77","360","n",132
0.043,"-487.179487179487","120","75","337","y",113
0.073,"-166.666666666667","117","75","586","n",110
0.062,"-72.7272727272728","98","72","397","n",96
0.123,"-45.0450450450451","92","65","261","n",90
0.205,"-37.037037037037","110","71","282","n",108
0.116,"101.694915254237","114","70","291","y",111
0.094,"-178.571428571428","124","75","440","n",114
0.202,"-60.4395604395604","106","72","356","n",101
0.156,"-96.7741935483872","97","64","407","n",88
0.154,"100.719424460432","136","79","342","y",130
0.08,"-305.555555555556","120","76","352","n",111
0.117,"-387.755102040816","120","77","502","y",103
0.092,"536.231884057971","191","84","347","n",178
0.046,"-317.073170731707","158","81","354","y",151
0.056,"-460.000000000001","148","81","457","n",136
0.048,"-323.529411764707","126","77","377","n",122
0.066,"-215.686274509804","103","66","272","n",96
0.081,"161.764705882353","143","82","358","n",138
0.06,"-301.88679245283","123","77","370","y",116
0.076,"-176.470588235294","122","78","505","n",115
0.077,"-159.420289855073","109","75","509","n",103
0.078,"-166.666666666667","100","69","278","n",94
0.245,"-144.796380090498","136","77","551","n",112
0.083,"79.9999999999998","113","76","347","y",110
0.067,"-200","108","73","333","n",102
0.034,"-851.851851851855","119","73","527","n",107
0.069,"-365.079365079364","122","77","335","n",107
0.061,"-232.142857142858","95","72","399","n",89
0.088,"-150","115","77","532","n",108
0.084,"22.2222222222222","113","77","328","y",113
0.049,"-259.259259259259","109","71","308","n",104
0.035,"-281.25","106","68","395","n",100
0.06,"-282.608695652174","107","70","338","n",102
0.053,"-55.5555555555555","88","59","1085","n",87
0.127,"-89.5522388059702","120","78","777","n",118
0.067,"192.982456140351","132","79","332","y",128
0.053,"-395.833333333334","124","76","335","n",115
0.058,"-384.615384615386","115","74","617","n",103
0.073,"-424.242424242424","134","77","329","n",116
0.107,"-134.020618556701","101","71","386","n",94
0.117,"81.9672131147541","126","79","372","n",123
0.076,"-117.647058823529","119","74","332","y",115
0.055,"-204.081632653061","104","71","303","n",100
0.052,"-255.319148936171","108","69","350","n",102
0.124,"-153.153153153153","106","71","297","n",96
0.102,"-73.1707317073172","112","74","365","n",108
0.06,"-99.9999999999999","106","73","275","n",105
0.102,"-123.595505617978","101","65","801","n",94
0.156,"-81.4814814814815","123","79","307","n",118
0.128,"104.651162790698","128","79","307","y",125
0.177,"-127.81954887218","121","79","367","n",114
0.076,"-308.823529411764","109","73","335","n",97
0.128,"144.230769230769","135","79","366","y",128
0.063,"-210.526315789474","121","77","359","n",116
0.067,"-127.659574468085","102","73","418","n",98
0.054,"-522.727272727274","122","69","334","n",112
0.105,"-103.448275862069","145","64","514","y",143
0.051,"-250","121","53","403","n",118
0.063,"-339.285714285714","152","60","481","n",140
0.152,"-200","138","66","711","y",135
0.113,"-309.52380952381","116","57","485","n",102
0.08,"-105.263157894737","128","53","507","n",127
0.191,"-54.7945205479452","124","58","678","y",122
0.059,"-80.0000000000001","113","49","430","n",112
0.112,"146.341463414634","129","58","782","y",127
0.124,"-83.3333333333333","109","49","608","y",105
0.156,"-230.769230769231","135","58","803","n",120
0.095,"179.48717948718","168","68","445","y",164
0.05,"-565.217391304347","153","64","365","n",139
0.038,"-296.296296296296","119","52","325","n",115
0.048,"-500.000000000001","136","57","457","n",126
0.081,"-145.454545454546","114","54","586","n",110
0.125,"-134.146341463415","147","56","412","n",143
0.068,"-327.868852459017","143","58","483","y",132
0.1,"-133.333333333333","107","55","748","n",102
0.136,"-287.500000000001","99","41","850","n",86
0.167,"-88.7096774193548","127","58","728","n",123
0.121,"172.043010752688","169","67","493","y",163
0.066,"-186.440677966102","163","64","353","n",157
0.08,"-257.142857142857","162","58","339","n",151
0.048,"-375","159","62","479","n",152
0.08,"-236.111111111112","146","65","659","n",138
0.054,"769.230769230775","115","51","545","n",111
0.221,"229.166666666667","194","64","486","y",183
0.106,"99.9999999999999","168","65","345","n",165
0.085,"-157.894736842105","165","59","317","n",160
0.05,"-386.363636363636","160","61","449","n",150
0.098,"-62.4999999999999","135","63","691","n",133
0.126,"372.093023255813","129","57","491","n",124
0.132,"-159.663865546218","140","58","729","n",129
0.106,"172.839506172839","148","62","519","y",141
0.062,"-178.571428571429","123","54","671","n",119
0.043,"-83.3333333333333","114","43","663","n",114
0.136,"-333.333333333333","149","55","316","n",133
0.136,"144.444444444444","154","61","508","y",150
0.096,"-229.885057471264","135","56","546","n",127
0.063,"-173.913043478261","124","53","335","n",119
0.084,"-166.666666666667","113","50","415","n",110
0.061,"-352.941176470586","85","38","936","n",81
0.149,"-120","129","55","641","n",124
0.17,"-194.029850746269","149","60","408","y",145
0.081,"-301.369863013699","131","56","489","n",127
0.115,"-144.230769230769","144","60","776","n",136
0.14,"157.894736842105","156","63","429","y",152
0.09,"-259.259259259259","136","57","478","n",128
0.059,"-452.830188679246","145","55","330","n",129
0.141,"-98.3606557377049","133","59","736","y",130
0.058,"-307.692307692307","124","55","347","n",120
0.117,"-21.0526315789474","132","58","821","y",131
0.053,"-525","128","51","283","n",118
0.063,"-446.428571428571","142","56","357","y",127
0.066,"-271.186440677966","120","53","713","n",114
0.089,"-90.909090909091","142","60","420","y",138
0.044,"-233.333333333333","118","50","307","n",114
0.058,"-23.8095238095238","113","55","361","y",113
0.06,"-150.943396226415","111","53","730","n",107
0.077,"-72.463768115942","139","61","474","y",135
0.05,"-500","119","50","358","n",113
0.062,"-270.833333333333","123","57","353","n",119
0.07,"-285.714285714285","146","62","424","y",144
0.077,"-257.575757575758","140","60","624","n",134
0.107,"-93.75","157","65","439","y",152
0.056,"-395.833333333334","132","57","340","n",124
0.098,"-65.7894736842105","136","63","640","y",134
0.07,"170.212765957447","134","59","525","n",131
0.121,"283.783783783784","197","68","472","y",189
0.081,"-356.164383561644","149","61","378","n",136
0.03,"-642.857142857142","120","51","428","n",114
0.092,"58.8235294117647","108","54","663","y",106
0.046,"-194.444444444445","113","49","614","n",110
0.086,"-141.025641025641","124","53","412","y",118
0.029,"50.0000000000002","116","49","380","n",115
0.053,"-208.333333333333","124","53","351","y",117
0.067,"-178.571428571429","112","49","734","n",106
0.075,"-230.769230769231","141","59","433","y",140
0.042,"-533.333333333333","126","50","302","n",117
0.056,"-280","141","59","376","y",131
0.057,"-20.8333333333333","130","61","672","n",130
0.084,"148.936170212766","201","68","440","y",198
0.066,"-471.698113207547","133","55","347","n",121
0.114,"48.7804878048781","119","59","645","y",118
0.052,"-170.212765957447","122","57","616","n",119
0.09,"-146.341463414634","151","63","444","y",148
0.039,"-571.428571428571","124","56","350","n",116
0.13,"0","106","43","680","n",106
0.082,"409.090909090909","124","57","685","y",118
0.056,"-277.777777777778","119","52","560","n",118
0.084,"-223.684210526316","127","56","458","y",116
0.109,"-247.422680412371","135","54","337","n",126
0.087,"-555.555555555555","148","65","677","y",145
0.056,"-90.9090909090911","140","63","693","n",139
0.095,"-238.805970149254","145","60","382","n",134
0.066,"217.391304347826","162","67","386","y",158
0.088,"-523.809523809522","152","60","599","n",135
0.135,"-202.380952380952","127","55","382","n",120
0.103,"163.636363636364","147","64","690","y",142
0.084,"-119.047619047619","153","60","733","n",150
0.086,"-307.692307692308","129","55","339","n",120
0.067,"-388.888888888889","134","58","345","y",132
0.051,"-577.777777777779","147","59","529","n",134
0.035,"-346.153846153846","141","61","607","n",136
0.086,"-294.871794871795","140","57","397","n",132
0.094,"76.923076923077","161","67","673","y",159
0.073,"-69.7674418604651","162","64","671","n",161
0.091,"-280.487804878049","153","58","394","n",138
0.064,"-147.058823529412","146","60","379","y",145
0.043,"-810.810810810813","156","60","509","n",139
0.024,"-222.222222222222","138","59","536","n",137
0.095,"-111.111111111111","119","49","698","n",114
0.064,"-258.620689655172","136","56","688","y",128
0.112,"-450","88","35","830","n",84
0.054,"-125","125","57","353","n",124
0.045,"-419.354838709679","127","52","490","y",121
0.134,"-120.689655172414","132","56","442","n",125
0.099,"200","163","67","709","y",157
0.095,"132.352941176471","173","63","658","n",170
0.075,"-308.823529411765","150","58","362","n",137
0.044,"-375","144","62","358","y",143
0.039,"-368.421052631581","129","49","702","n",125
0.076,"-318.840579710145","135","54","363","n",127
0.089,"-269.230769230769","163","64","482","y",161
0.084,"-413.333333333334","151","59","655","n",137
0.118,"280.487804878049","199","67","451","y",188
0.063,"-464.285714285714","151","57","347","n",136
0.147,"-135.338345864662","147","58","379","y",134
0.229,"-68.2926829268293","127","57","636","n",122
0.097,"-91.9540229885058","140","57","333","y",135
0.138,"149.122807017544","160","69","808","y",153
0.048,"-350","127","62","812","n",120
0.161,"-97.2222222222222","143","60","378","y",132
0.096,"-75.9493670886076","128","58","682","n",125
0.13,"63.157894736842","133","60","767","y",130
0.055,"-404.761904761904","121","57","849","n",114
0.11,"-60.6060606060606","154","63","356","y",149
0.089,"-112.5","147","65","634","n",143
0.121,"-79.2079207920792","131","60","683","n",127
0.104,"135.135135135135","147","68","738","y",144
0.085,"-406.25","134","58","475","n",121
0.108,"-278.350515463918","153","58","365","y",136
0.07,"-112.903225806452","134","60","535","n",131
0.108,"-30.9278350515464","121","58","646","n",119
0.108,"47.6190476190477","138","66","751","y",137
0.091,"-999.999999999999","115","46","944","n",106
0.196,"56.3380281690141","141","58","357","y",139
0.159,"-148.148148148148","134","55","881","n",130
0.11,"-40.8163265306123","124","55","633","n",123
0.124,"-59.7014925373135","119","56","799","y",117
0.11,"-1100","133","47","802","n",116
0.136,"-200","147","59","370","y",136
0.23,"-67.9611650485437","128","57","754","n",122
0.144,"-147.286821705426","162","67","467","y",148
0.066,"-518.518518518518","148","63","515","n",134
0.138,"-401.639344262295","165","54","381","n",141
0.07,"540.540540540542","174","59","327","y",159
0.116,"-866.666666666659","138","50","595","n",127
0.087,"-75.9493670886076","141","60","357","y",138
0.112,"-63.8297872340426","130","59","635","n",128
0.141,"-102.272727272727","143","64","515","y",137
0.074,"275.000000000001","170","62","521","n",165
0.183,"-292.207792207792","177","64","464","n",148
0.1,"400.000000000001","203","69","531","y",178
0.063,"-799.999999999999","133","56","427","n",121
0.111,"-393.617021276596","147","58","438","y",124
0.07,"-118.64406779661","120","60","732","n",115
0.119,"107.52688172043","147","65","804","y",143
0.036,"0","113","56","441","n",113
0.204,"53.4351145038168","144","59","415","y",141
0.14,"-79.5454545454545","127","60","753","n",122
0.145,"-63.1578947368421","124","59","753","y",120
0.078,"-137.931034482759","126","56","468","y",123
0.068,"-192.982456140351","124","55","642","n",118
0.108,"134.020618556701","150","62","745","y",143
0.17,"448.275862068966","162","55","447","n",130
0.106,"-252.631578947368","157","63","477","y",144
0.071,"-176.470588235294","142","65","726","n",136
0.093,"212.121212121212","175","74","789","y",168
0.058,"-533.333333333333","133","57","460","n",124
0.076,"-88.8888888888889","119","58","455","y",117
0.102,"-193.548387096774","123","54","588","n",112
0.095,"-121.621621621622","112","49","505","n",107
0.185,"-213.333333333333","151","63","559","n",135
0.182,"198.347107438017","179","67","611","y",166
0.122,"307.692307692307","195","63","676","n",183
0.23,"-188.811188811189","150","56","494","n",130
