"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.062,"175","129","76","272","y",126
0.044,"-350","133","75","418","n",126
0.088,"-126.582278481013","116","73","768","n",110
0.195,"34.7222222222222","116","76","676","y",114
0.123,"-189.189189189189","105","70","415","n",97
0.109,"185.714285714286","127","77","349","y",120
0.082,"-183.333333333333","128","75","438","n",122
0.101,"-66.6666666666668","125","75","733","n",120
0.214,"-15.625","108","73","752","y",106
0.146,"-83.969465648855","95","66","537","n",90
0.14,"76.9230769230769","117","75","678","y",113
0.081,"-125","111","70","337","n",107
0.155,"-106.382978723404","111","71","254","y",103
0.102,"-146.067415730337","93","62","946","n",88
0.193,"-210.526315789474","118","77","632","y",113
0.127,"-76.1904761904762","115","75","299","n",112
0.228,"29.1970802919708","101","68","488","n",100
0.233,"-44.9438202247191","107","71","302","y",104
0.152,"-97.0149253731342","97","65","1041","n",90
0.127,"191.919191919192","148","80","336","y",140
0.075,"-190.476190476191","136","77","539","n",129
0.077,"-115.942028985507","127","78","677","n",121
0.189,"48.2758620689655","127","81","697","y",123
0.253,"-39.0243902439024","113","74","314","y",106
0.083,"-205.882352941178","92","65","973","n",86
0.217,"-77.5862068965517","107","70","366","y",101
0.083,"-382.35294117647","101","68","494","n",90
0.203,"-27.3224043715847","114","73","319","n",112
0.075,"276.595744680851","138","71","302","y",131
0.1,"49.3827160493827","111","74","432","y",109
0.089,"-181.818181818182","109","70","329","n",103
0.134,"-44.2477876106195","100","70","470","y",98
0.097,"-164.383561643836","96","66","137","n",91
0.17,"-148.936170212766","127","82","479","n",124
0.284,"-39.2156862745098","122","75","437","y",118
0.183,"-49.3827160493827","118","75","351","n",115
0.127,"156.25","129","75","355","y",123
0.27,"-98.7654320987654","123","73","547","n",107
0.101,"-111.111111111111","107","73","420","y",105
0.107,"-144.329896907217","102","68","284","n",93
0.154,"-110.236220472441","110","74","755","n",100
0.156,"-148.936170212766","106","73","398","y",104
0.059,"-584.905660377359","120","71","303","n",103
0.179,"-118.012422360248","127","78","664","n",115
0.195,"192.660550458716","143","79","492","y",134
0.274,"93.7499999999999","146","76","420","n",140
0.19,"21.978021978022","114","75","575","n",113
0.085,"-194.805194805195","102","70","846","n",95
0.152,"-204.379562043796","121","74","568","n",105
0.116,"-200","116","78","430","y",112
0.1,"-100","106","75","672","n",101
0.064,"-224.137931034483","99","69","817","n",95
0.116,"-266.666666666667","116","72","748","n",98
0.112,"-128.712871287129","114","76","428","y",104
0.08,"-250","103","65","556","n",97
0.167,"-194.630872483221","136","83","628","n",126
0.12,"195.121951219512","142","84","451","y",135
0.092,"-194.805194805195","141","82","621","n",135
0.088,"-155.555555555555","132","79","641","n",130
0.09,"-370.37037037037","111","70","785","n",96
0.107,"-93.75","113","70","522","y",107
0.063,"-200","95","50","866","n",90
0.205,"-96.7741935483871","134","81","425","y",125
0.233,"-71.7703349282296","114","73","496","n",106
0.122,"-118.181818181818","101","70","273","n",94
0.254,"-118.421052631579","140","76","642","n",122
0.233,"200","143","77","320","y",134
0.189,"158.878504672897","128","73","258","n",119
0.164,"-33.7837837837838","113","75","394","y",109
0.153,"-76.9230769230769","103","74","702","n",98
0.115,"-144.329896907217","91","64","1173","n",84
0.154,"-159.420289855072","133","80","532","n",124
0.156,"-218.978102189781","132","80","341","y",113
0.077,"-246.376811594203","107","73","283","n",99
0.129,"-241.379310344828","127","76","352","y",106
0.06,"-222.222222222222","102","72","325","n",98
0.214,"-36.4583333333333","123","78","354","y",118
0.177,"-113.207547169811","115","75","460","n",103
0.098,"-135.802469135803","94","69","720","n",88
0.144,"-186.046511627907","112","70","234","n",95
0.274,"60","144","81","341","y",141
0.21,"-121.693121693122","133","79","468","n",120
0.067,"-163.934426229508","107","75","599","n",103
0.091,"-358.024691358025","133","78","356","n",114
0.082,"-202.702702702703","97","68","256","n",89
0.184,"176.923076923077","147","78","372","y",134
0.07,"-213.114754098361","127","73","384","n",123
0.114,"-196.078431372549","101","67","661","n",97
0.129,"-267.857142857143","122","74","353","y",110
0.066,"-166.666666666667","105","70","307","n",102
0.072,"-117.647058823529","91","59","179","n",89
0.129,"-142.857142857143","94","60","669","n",87
0.146,"-171.428571428571","125","76","351","y",115
0.15,"119.565217391304","120","73","370","n",115
0.08,"-203.125","103","66","448","n",98
0.156,"-202.898550724638","125","77","342","y",115
0.082,"-135.135135135135","110","74","365","n",106
0.096,"-200","98","67","696","n",95
0.206,"-177.41935483871","138","77","334","y",114
0.112,"-89.1089108910891","102","70","349","n",98
0.086,"-274.193548387097","105","66","611","n",98
0.197,"-248.587570621469","149","82","694","n",129
0.084,"542.857142857142","176","79","278","y",170
0.109,"-387.755102040817","139","78","346","n",114
0.082,"-200","104","71","364","n",99
0.066,"-217.391304347827","101","64","652","n",98
0.143,"-294.573643410853","148","73","513","n",122
0.046,"310.344827586207","151","76","289","y",148
0.07,"-338.709677419355","137","76","372","n",122
0.078,"-169.230769230769","119","73","358","n",114
0.089,"392.857142857142","137","72","223","n",134
0.086,"-194.805194805195","128","75","380","n",120
0.098,"-68.1818181818181","109","72","445","n",106
0.223,"110.497237569061","126","70","321","y",115
0.046,"-560.975609756099","128","75","320","n",115
0.104,"-319.148936170213","128","77","637","n",109
0.109,"100","123","76","768","y",119
0.119,"-182.692307692308","119","77","439","n",108
0.085,"-287.671232876713","96","67","571","n",87
0.298,"71.1111111111111","141","79","364","n",133
0.075,"-121.212121212121","149","76","595","y",147
0.075,"-269.84126984127","129","71","355","n",123
0.183,"-169.69696969697","126","77","624","n",110
0.122,"83.3333333333335","118","75","316","y",114
0.144,"-161.538461538461","124","77","359","n",111
0.069,"-345.454545454547","102","71","495","n",92
0.255,"-54.1871921182266","142","83","421","n",136
0.156,"333.333333333332","153","75","576","n",146
0.093,"-645.161290322578","138","74","246","n",135
0.215,"-124.352331606218","121","76","637","n",107
0.237,"20","114","74","283","y",112
0.156,"-171.428571428571","120","75","356","n",103
0.065,"-326.530612244898","96","68","337","n",92
0.148,"-210.526315789474","124","77","763","n",108
0.081,"41.6666666666667","109","75","278","y",108
0.15,"-140.740740740741","118","74","357","n",106
0.102,"-250","96","66","662","n",88
0.1,"-186.813186813187","132","78","370","n",122
0.095,"-60","113","74","335","y",111
0.18,"-116.564417177914","119","75","386","n",105
0.082,"-250.000000000001","98","66","555","n",91
0.295,"-129.464285714286","136","80","751","n",123
0.136,"129.62962962963","138","77","313","y",131
0.232,"-181.818181818182","145","79","450","n",118
0.077,"-390.625","114","72","335","n",103
0.144,"-257.142857142857","129","73","292","y",121
0.105,"253.333333333333","132","72","185","n",124
0.085,"810.810810810811","183","65","354","y",154
0.06,"-425.925925925926","119","63","632","n",111
0.133,"-203.703703703704","115","74","277","n",110
0.117,"210.526315789474","122","73","234","n",116
0.077,"400","167","72","333","y",149
0.09,"-543.209876543209","124","69","520","n",105
0.111,"-240","136","79","390","y",122
0.134,"319.148936170213","141","73","196","n",129
0.085,"370.967741935484","164","70","349","y",145
0.049,"-409.090909090909","126","71","198","n",119
0.105,"-368.421052631579","121","74","750","n",106
0.089,"-191.780821917808","125","73","280","y",118
0.07,"-370.967741935484","111","71","773","n",96
0.076,"-409.090909090911","100","60","449","n",90
0.151,"-410.25641025641","147","78","283","y",142
0.123,"-153.846153846154","135","78","488","n",129
0.072,"-259.259259259259","128","77","359","y",125
0.099,"-369.04761904762","124","76","288","n",110
0.073,"-147.540983606558","128","73","392","y",125
0.052,"-574.468085106384","121","73","331","n",108
0.073,"-769.230769230769","119","66","380","n",97
0.173,"-174.193548387097","135","80","605","n",124
0.133,"127.906976744186","150","79","304","y",144
0.221,"-183.206106870229","144","74","350","n",138
0.145,"-30.7692307692308","116","77","546","n",113
0.083,"18.5185185185184","113","73","573","y",113
0.098,"-454.545454545454","126","73","278","n",101
0.112,"-111.111111111111","113","69","556","y",111
0.129,"-513.761467889908","134","72","498","n",98
0.112,"-360","127","71","273","n",109
0.11,"-194.805194805195","120","69","503","y",113
0.142,"-362.204724409449","130","72","347","n",104
0.077,"-594.202898550725","152","80","220","n",130
0.091,"-205.128205128205","131","78","651","y",129
0.095,"-511.627906976744","139","77","465","n",116
0.123,"-324.324324324324","150","80","853","n",127
0.119,"-195.121951219512","133","79","309","y",127
0.11,"-50.5050505050505","122","76","416","n",120
0.11,"-434.343434343434","135","75","255","n",111
0.118,"-179.245283018868","123","73","734","y",113
0.14,"-357.142857142857","132","74","493","n",107
0.182,"-292.682926829268","152","78","259","n",125
0.124,"-378.378378378378","137","78","702","y",115
0.054,"-139.53488372093","105","72","832","n",103
0.068,"-557.377049180328","130","75","257","n",113
0.084,"-43.4782608695652","132","75","625","y",131
0.191,"-322.981366459627","136","77","603","n",109
